"storeId","가게명","지역","주소","전화번호","확인상태","확인일","메뉴1","가격1","메뉴2","가격2","메뉴3","가격3","출처URL","비고"
"3-6-3숯불구이-1nxzhx","3.6.3숯불구이","후평동","강원특별자치도춘천시 삭주로 194 (후평동)","033-257-3353","확인대기","","","","","","","","",""
"33떡볶이-후평점-jx12n5","33떡볶이 후평점","후평동","강원특별자치도 춘천시 후석로326번길 11 후평동","033-244-7733","확인대기","","","","","","","","",""
"가장맛있는족발후평점-1oo5zy","가장맛있는족발(후평점)","후평동","강원특별자치도 춘천시 후석로 278 1층(후평동)","033-252-7849","확인대기","","","","","","","","",""
"고기굽는마을-9hnyq","고기굽는마을","후평동","강원특별자치도 춘천시 후석로228번길 9 1층 (후평동)","033-244-9221","확인대기","","","","","","","","",""
"고기싸롱-후평점-shm6l0","고기싸롱 후평점","후평동","강원특별자치도춘천시 춘천로 324, 2층 (후평동)","033-255-0111","확인대기","","","","","","","","",""
"곤지암할매소머리국밥-xiyue2","곤지암할매소머리국밥","후평동","강원특별자치도춘천시 후석로 299 (후평동)","033-253-3583","확인대기","","","","","","","","",""
"7번가피자춘천점-7x1amm","7번가피자춘천점","석사동","강원특별자치도춘천시 후석로 55-1 (석사동)","033-264-7277","확인대기","","","","","","","","",""
"가리미김밥봄내점-uhhy24","가리미김밥봄내점","석사동","강원특별자치도춘천시 퇴계로 215, 1층 2호 (석사동)","033-264-0375","확인대기","","","","","","","","",""
"고봉민김밥인춘천석사점-6ez8g1","고봉민김밥인춘천석사점","석사동","강원특별자치도 춘천시 퇴계농공로 20 101호(석사동,종로타워)","033-261-9110","확인대기","","","","","","","","",""
"고피자춘천석사점-mdwpof","고피자(춘천석사점)","석사동","강원특별자치도춘천시 지석로 75, 상가동 109호 (석사동)","033-910-0778","확인대기","","","","","","","","",""
"공지천왕갈비-애막골점-j0gg1c","공지천왕갈비 애막골점","석사동","강원특별자치도춘천시 석사동 742-15","033-241-6546","확인대기","","","","","","","","",""
"교촌치킨-석사점-p4o31k","교촌치킨 석사점","석사동","강원특별자치도 춘천시 애막골길11번길 2 1층(석사동)","033-263-6262","확인대기","","","","","","","","",""
"119닭갈비-ll0uat","119닭갈비","퇴계동","강원특별자치도춘천시 남춘로36번길 89 (퇴계동)","031-435-3376","확인대기","","","","","","","","",""
"25시김밥-gby4d4","25시김밥","퇴계동","강원특별자치도춘천시 퇴계동 945번지 퇴계금호상가 1층 3호","033-264-2477","확인대기","","","","","","","","",""
"33떡볶이퇴계석사점-b1e910","33떡볶이퇴계석사점","퇴계동","강원특별자치도 춘천시 퇴계로 205 1층 102호","033-253-8833","확인대기","","","","","","","","",""
"5-5닭갈비-1orqzz","5.5닭갈비","퇴계동","강원특별자치도춘천시 남춘로 33 (퇴계동)","033-254-8327","확인대기","","","","","","","","",""
"59피자-퇴계점-1j27pd","59피자 퇴계점","퇴계동","강원특별자치도춘천시 승지골길16번길 16, 상가동 104호 (퇴계동, 퇴계7단지주공아파트)","033-255-5950","확인대기","","","","","","","","",""
"고기굽당-100wg1","고기굽당","퇴계동","강원특별자치도 춘천시 퇴계로 13 1층 101호(퇴계동)","033-241-9292","확인대기","","","","","","","","",""
"214도넛-xwn379","214도넛","효자동","강원특별자치도 춘천시 효자로150번길 23 1층","033-261-1002","확인대기","","","","","","","","",""
"가리미김밥석사세경점-1qetrs","가리미김밥석사세경점","효자동","강원특별자치도춘천시 남춘천새길 39, 1층 (효자동)","033-257-6643","확인대기","","","","","","","","",""
"감미옥-설렁탕-6xdjh8","감미옥 설렁탕","효자동","강원특별자치도춘천시 춘천로 217 (효자동)","033-256-3808","확인대기","","","","","","","","",""
"고우국밥-sx88hp","고우국밥","효자동","강원특별자치도춘천시 남춘천새길41번길 13-2 (효자동)","033-261-6796","확인대기","","","","","","","","",""
"공지천왕갈비-dzrwou","공지천왕갈비","효자동","강원특별자치도 춘천시 효자로 5 .","033-251-0791","확인대기","","","","","","","","",""
"교촌치킨효자점-1effwo","교촌치킨(효자점)","효자동","강원특별자치도춘천시 효자로 115, 1층 (효자동)","033-252-9949","확인대기","","","","","","","","",""
