가맹점명,가맹점유형,업종명,시도명,시군구명,시군구코드,소재지도로명주소,전화번호,관리기관명,관리기관전화번호,데이터기준일자
(뉴)진수성찬,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 공지로 450 1층,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(사) 담배인삼공제회 (세인트콕스),일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 스포츠타운길399번길 22, 1층 (삼천동)",033-253-4757,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주) 아워홈 더플레이어스GC점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동산면 새술막길 438 1층,033-250-5042,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주) 코리아세븐 춘천퇴계마루점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 퇴계농공로 12, 1동 109호 (석사동, 로얄프라자)",02-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주) 통나무집닭갈비,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 신북읍 신샘밭로 763,033-241-5999,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주) 플로팅플로우 (Floating Flow Co Ltd),일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 남면 충효로 1219-110 .,,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)더원 춘천명동지점,일반가맹점,일식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 시청길10번길 4 1층,033-253-8899,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)보광훼미리춘천명동점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 중앙로 63-1 (중앙로2가),033-256-3561,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)비지에프리테일 강원대BTL기숙사점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 강원대학길 1, 민자학생생활관 1층 (효자동, 강원대학교)",02-1577-8007,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)비지에프리테일 한림춘천성심병원점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 삭주로 77 (교동, 춘천성심병원)",033-2522-2510,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)빌텍 강원대병원점,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 백령로 156 지하1층,02-2052-2854,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)아워홈 한림대학교점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 옥천동 1번지,02-2175-4188,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)아워홈 한림대학교점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 봉의산길22번길 29 (옥천동),070-8662-2102,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)예인미술 그리고 봄,일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,"강원특별자치도 춘천시 남산면 강촌구곡길 171 1,2층",,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)유포리막국수,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 신북읍 맥국2길 123 1층,033-242-5168,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)육설모 춘천점,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 영서로2279번길 16 1층,033-251-2900,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)이마트 춘천점,주부식가맹점,할인점/슈퍼마켓,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 온의동 511,033-240-1234,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)이씨엠디강원대병원,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 백령로 156 (효자동),033-244-9749,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)춘천민물장어,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동내면 거두택지길 41-93 춘천민물장어,033-263-8252,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)춤추는산토리니,일반가맹점,양식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 동면 순환대로 1154-97, 2층",033-242-0069,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)코리아세븐 춘천석사제일점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 벌말길 111, 1층 (석사동)",033-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)코리아세븐 춘천세영리첼점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 김유정로 1864 , 상가동 102호, 103호 (퇴계동)",033-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)코리아세븐 춘천장학주공점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 동면 소양강로 100, 상가 1층 103호 (춘천장학엘에이치1단지아파트)",02-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)코리아세븐 춘천한림대점,편의점,편의점,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 봉의산길22번길 24-1, 1층 (옥천동)",033-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)코리아세븐춘천남춘천로점,편의점,편의점,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남춘로 36 (효자동),02-1577-0711,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)텐시코리아,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 동면 춘천순환로 388 1층,033-242-9990,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)토담,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 신북읍 신샘밭로 658,033-241-5399,강원특별자치도 춘천시청,033-250-4043,2025-07-14
(주)토담(어스17),일반가맹점,일반대중음식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 신북읍 신샘밭로 766 .,033-244-7877,강원특별자치도 춘천시청,033-250-4043,2025-07-14
100년명동한식,일반가맹점,일식,강원특별자치도,춘천시,4181000,"강원특별자치도춘천시 중앙로 41-3, 2층 (중앙로1가)",033-255-7303,강원특별자치도 춘천시청,033-250-4043,2025-07-14
102국밥,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도 춘천시 신북읍 영서로 3278 .,033-255-0102,강원특별자치도 춘천시청,033-250-4043,2025-07-14
119닭갈비,일반가맹점,한식,강원특별자치도,춘천시,4181000,강원특별자치도춘천시 남춘로36번길 89 (퇴계동),031-435-3376,강원특별자치도 춘천시청,033-250-4043,2025-07-14
